date,open,high,low,close,volume
2019-01-02,15.309422,16.137479,15.222766,15.887136,18511500
2019-01-03,15.540512,15.781226,15.116855,15.184256,13107600
2019-01-04,15.530885,15.771599,15.396086,15.636800,13825100
2019-01-07,15.665683,16.079712,15.646425,15.993054,8462900
2019-01-08,16.185627,16.262656,15.819742,16.070086,10637000
2019-01-09,16.185624,16.474483,16.118225,16.455225,7767500
2019-01-10,16.349309,16.561139,16.166368,16.474482,10672900
2019-01-11,16.378196,16.830738,16.320425,16.686310,15121300
2019-01-14,16.493735,16.609279,16.339678,16.407080,6910700
2019-01-15,16.416709,16.628539,16.166368,16.214510,10151300
2019-01-16,16.214507,16.358935,16.012306,16.021935,8583200
2019-01-17,15.906395,15.983423,15.723452,15.906395,12741300
2019-01-18,16.060451,16.609279,15.916023,16.253021,18502300
2019-01-22,16.137485,16.195256,15.790856,16.041199,10433100
2019-01-23,16.108597,16.320427,15.925656,16.060455,10392100
2019-01-24,16.368570,17.196628,16.339684,16.849998,20010200
2019-01-25,17.158116,18.159488,17.109974,17.880259,29605000
2019-01-28,17.273653,17.880252,17.138852,17.678053,12975800
2019-01-29,17.735826,17.793597,17.235140,17.456596,10201200
2019-01-30,17.755085,17.793598,17.485484,17.687685,9679400
2019-01-31,17.620279,18.015050,17.485480,17.841738,11476900
2019-02-01,17.860998,17.976541,17.610656,17.726198,7979800
2019-02-04,17.774344,17.938029,17.572145,17.880259,5047700
2019-02-05,17.706941,18.024684,17.610657,17.966913,7971900
2019-02-06,18.198001,18.457972,18.149858,18.332802,18243700
2019-02-07,17.312173,17.803231,17.283289,17.649174,21169900
2019-02-08,17.360311,17.764711,17.312167,17.706938,7981400
2019-02-11,17.793596,18.352053,17.678054,18.342424,9159200
2019-02-12,18.583140,18.833483,18.515740,18.679426,16531300
2019-02-13,18.804602,18.977915,18.525373,18.573517,11681900
2019-02-14,18.486849,18.698677,18.429077,18.477221,9543200
2019-02-15,18.650544,18.650544,18.063200,18.130600,12616000
2019-02-19,18.342423,18.717938,18.217252,18.592766,12043700
2019-02-20,18.602399,19.189742,18.554256,19.064569,12252200
2019-02-21,18.987535,19.064564,18.785336,18.881622,6174200
2019-02-22,19.016427,19.151227,18.833484,18.920141,7373500
2019-02-25,19.257141,19.305283,18.949027,18.968285,10597700
2019-02-26,18.910510,19.208997,18.843111,19.141596,11545200
2019-02-27,19.035680,19.122337,18.843108,18.977907,6274200
2019-02-28,18.852744,19.526744,18.843115,19.209002,12913900
2019-03-01,19.343795,19.430452,18.881624,19.286024,10151900
