date,open,high,low,close,volume
2019-01-02,127.985624,136.439272,127.558965,134.623520,28146200
2019-01-03,133.641261,136.101946,130.099051,130.714233,22717900
2019-01-04,132.966531,136.925468,132.708561,136.875854,29002100
2019-01-07,136.488908,137.788705,134.851761,136.975098,20089300
2019-01-08,138.800768,142.025463,138.453487,141.420212,26263800
2019-01-09,141.836947,143.573321,140.170035,143.106979,22205900
2019-01-10,141.965920,143.434392,139.743356,143.077194,16125000
2019-01-11,142.035396,144.228195,141.459925,142.680344,12908000
2019-01-14,140.894331,145.428754,140.170019,144.257935,20520300
2019-01-15,144.873097,149.506732,144.853263,147.790207,24069000
2019-01-16,147.839844,148.484776,145.855416,146.391205,18025700
2019-01-17,145.805769,147.839810,145.359276,147.145264,15787900
2019-01-18,148.583969,151.243094,147.393316,148.871704,31029600
2019-01-22,148.038257,150.350117,145.230291,146.420959,22378700
2019-01-23,147.125459,147.641415,141.946102,143.176453,20098400
2019-01-24,143.513782,145.299770,141.410294,144.694519,20955500
2019-01-25,146.331661,148.663369,145.398978,147.849747,22237200
2019-01-28,146.897233,147.800151,145.071563,146.321747,15508500
2019-01-29,146.936919,146.946850,142.313199,143.067291,17632100
2019-01-30,145.081470,149.774636,144.565515,149.248764,44613200
2019-01-31,164.310581,170.343226,163.715246,165.392090,77233600
2019-02-01,164.548716,167.783343,164.370125,164.419739,30806500
2019-02-04,164.409783,167.981758,162.345977,167.932144,20036000
2019-02-05,167.832942,170.640908,167.376532,169.827301,22557000
2019-02-06,169.866969,171.127085,167.952004,169.162506,13281200
2019-02-07,166.890309,167.922219,163.963282,165.084488,17517600
2019-02-08,163.189368,166.066781,162.931398,166.027100,12561400
2019-02-11,166.592656,166.989550,163.794621,164.499084,12811200
2019-02-12,165.560780,167.029252,163.219155,163.754944,16292300
2019-02-13,164.092293,164.925749,162.455132,162.792496,14205100
2019-02-14,161.919354,163.586266,160.986671,162.673431,12755200
2019-02-15,163.229085,163.417609,159.607511,161.234741,15504400
2019-02-19,159.250281,162.871855,159.081607,161.026337,14345400
2019-02-20,160.986682,162.445237,159.994468,161.294266,11770700
2019-02-21,160.669137,160.976736,158.347361,158.793854,15607800
2019-02-22,159.329658,161.145411,159.061756,160.629456,15858500
2019-02-25,161.800292,164.776933,161.631602,163.338211,18737100
2019-02-26,163.060377,164.945592,162.524588,162.852020,13784100
2019-02-27,161.631593,162.653572,159.160991,161.542297,12697500
2019-02-28,161.105721,162.226927,159.607484,160.192886,11114200
2019-03-01,161.333934,161.859806,160.431016,161.016418,11097800
2019-03-04,162.623805,166.195780,162.554358,166.066788,18894700
2019-03-05,166.066773,170.541666,165.253166,169.926483,28187900
2019-03-06,171.553726,172.218522,169.936428,171.166763,21531700
2019-03-07,170.164667,170.402804,166.304956,167.813126,18306500
2019-03-08,164.905899,168.299268,164.677694,168.279434,13184800
2019-03-11,170.263853,172.942826,170.244004,170.730194,18884000
2019-03-12,170.750034,172.446726,169.886813,170.581360,12155300
2019-03-13,170.978253,172.674930,170.779798,172.020065,11973300
2019-03-14,168.438190,169.817366,166.850657,168.845001,18037400
2019-03-15,165.858442,166.275170,161.244639,164.687622,37135400
2019-03-18,162.296404,162.623821,158.039799,159.220535,37524200
2019-03-19,160.222670,162.544462,159.567821,160.311981,25611500
2019-03-20,160.242501,164.826523,159.984531,164.151825,20211500
2019-03-21,163.606098,165.094419,162.474975,164.786835,16223000
2019-03-22,164.360176,166.116399,162.812326,163.060379,16389200
2019-03-25,161.730832,165.243262,160.738619,164.995209,12631200
2019-03-26,166.046957,168.130597,165.054744,166.374374,15437900
2019-03-27,166.543070,167.624579,163.506883,164.578476,10620300
2019-03-28,163.288621,165.421875,162.058271,164.260986,10443000
2019-03-29,165.094423,165.888197,163.526723,165.392090,13455500
2019-04-01,166.523208,167.584869,165.977487,167.386429,10381500
2019-04-02,168.815228,173.538159,168.229825,172.843613,23946500
2019-04-03,173.141283,176.574349,171.603349,172.188751,27391100
2019-04-04,174.649445,176.614023,174.163254,174.649445,17847700
2019-04-05,175.502732,175.621793,173.736593,174.351761,9594100
2019-04-08,173.845751,174.133486,172.873370,173.567917,7297400
2019-04-09,174.252551,177.794761,174.183104,176.197296,19751000
2019-04-10,176.792622,177.397873,175.165393,176.435440,11701500
2019-04-11,176.852180,177.010923,175.621830,176.127853,8071000
2019-04-12,176.614019,178.231332,176.564405,177.705460,12329800
2019-04-15,177.110150,179.094578,175.492837,178.251190,10834800
2019-04-16,177.606242,178.767130,176.911695,177.477249,11215200
2019-04-17,178.201592,179.332716,176.971242,177.387970,9973700
2019-04-18,177.407801,177.487180,175.959162,176.891846,11655600
2019-04-22,176.862073,180.255442,176.862073,180.027237,13389900
2019-04-23,181.317134,182.785606,180.066935,182.349030,19954800
2019-04-24,183.053503,183.698436,180.235604,181.158371,37289900
2019-04-25,195.446239,196.934560,190.624080,191.755203,54148800
2019-04-26,191.001123,191.398003,187.617671,189.998993,22075000
2019-04-29,189.463187,193.888466,189.165520,193.263367,19641300
2019-04-30,192.677977,195.853057,190.782845,191.894119,23494700
2019-05-01,193.263382,194.652475,191.507160,191.527008,15996600
2019-05-02,191.497241,192.489454,188.272546,191.030899,13209500
2019-05-03,192.866489,194.632628,192.201708,193.947998,14575400
2019-05-06,189.750948,192.767271,189.066318,192.370392,13994900
2019-05-07,191.040825,191.398023,186.387356,188.292404,16253000
2019-05-08,187.915337,189.234983,187.081881,188.064163,12505700
2019-05-09,185.742369,188.292365,184.809686,187.181076,12967000
2019-05-10,186.784209,188.520583,183.152704,186.873505,12578500
2019-05-13,182.071179,183.986144,179.431888,180.126434,16833300
2019-05-14,181.098825,182.061273,176.713243,179.322754,17628100
2019-05-15,179.015170,185.821756,178.618291,184.819626,16746900
