year,total_return,cagr,vol_annual,sharpe,sortino,max_drawdown,calmar,exposure,n_trades,win_rate,avg_holding_days
2019,0.5931319267020514,0.5931319267020514,0.25182560485763433,1.9769551716637068,2.8760084351996147,-0.1551333825518697,3.8233674593135003,1.0,1,1.0,252.0
2020,0.6263894551253075,0.6232659175292399,0.4218613648587408,1.3632276881320375,1.6291869533509262,-0.3411318699184268,1.827052739687671,1.0,1,1.0,253.0
2021,0.5954237979644112,0.5954237979644112,0.25441477164723614,1.9651688680418675,2.8299775269014917,-0.1321774543624621,4.504730408346473,1.0,1,1.0,252.0
2022,-0.3922971567325215,-0.39350184994596704,0.4201568401046775,-0.9793490534484189,-1.7523844268162774,-0.451354643742935,-0.8718240864495957,1.0,1,0.0,251.0
2023,0.9189252912814772,0.9289569327746234,0.2739135560042373,2.5372580374786957,5.004255293444061,-0.14551973330444135,6.383717944501422,1.0,1,1.0,250.0
2024,0.5584052123791199,0.5584052123791199,0.3364737433498468,1.4881978130539326,2.178599310394254,-0.24827754514102618,2.2491168585622012,1.0,1,1.0,252.0
2025,0.47307411900717455,0.4776459782360265,0.3915031614080749,1.1924098829536331,1.5331397901740886,-0.3660414601261226,1.3048958390436145,1.0,1,1.0,250.0
2026,0.7721223817211549,2.8480218046163124,0.37105818956139663,3.82690125409926,5.68826038209297,-0.1028874938201817,27.6809328215716,1.0,1,1.0,107.0
