year,total_return,cagr,vol_annual,sharpe,sortino,max_drawdown,calmar,exposure,n_trades,win_rate,avg_holding_days
2019,0.24223777305407435,0.24223777305407435,0.14649509738606964,1.5544218494461364,2.073857934878422,-0.13106971842017134,1.848159712051342,1.0,1,1.0,252.0
2020,0.06361669864769626,0.06335744706516477,0.09630767256391698,0.6862791829762357,0.7253669656445997,-0.11225016318714087,0.564430779129797,1.0,1,1.0,253.0
2021,-0.00040741368138719203,-0.00040741368138719203,0.0018617087881379057,-0.21795189273104204,-0.07662970513002268,-0.0015797180546142098,-0.25790278220672,1.0,1,0.0,252.0
2022,0.0,0.0,0.0,,,0.0,,1.0,1,0.0,251.0
2023,0.022873539228877693,0.0230586213040338,0.01826538808684443,1.2572542466822314,0.9808990378375539,-0.0050093942720995654,4.603075751585698,1.0,1,1.0,250.0
2024,0.04444761358248717,0.04444761358248717,0.040946973978498794,1.0822651738995452,1.9941153430559933,-0.007860697640189263,5.654410793673143,1.0,1,1.0,252.0
2025,0.0,0.0,0.0,,,0.0,,1.0,1,0.0,250.0
2026,0.0,0.0,0.0,,,0.0,,1.0,1,0.0,107.0
