regime,n_days,total_return,cagr,vol_annual,sharpe,sortino,max_drawdown,calmar,exposure,n_trades,win_rate,avg_holding_days
bull,1236,16.305103102742756,0.7883119625689727,0.29390538430241897,2.1274093156927742,2.9730286305998717,-0.24827754514102607,3.1751238804991306,1.0,1,1.0,1236.0
bear,56,-0.1652794810026077,-0.5564578448847775,0.7073424641047175,-0.7887167349627328,-1.0829193248097222,-0.21195458856812843,-2.625363520761503,1.0,1,0.0,56.0
sideways,376,-0.01110814479275224,-0.007458524423054835,0.44165533465397555,0.20170931239789738,0.34288244797398,-0.36741269936560095,-0.020300126903433705,1.0,1,0.0,376.0
